dataset,theta,seed,m_tau50,m_tau70,m_tau90,m_mean,d_a,d_b,d_mean,d_avg_arm,loss_parent_a,loss_parent_b,self_merge_d,params_merged
large_vocab,0.4,2,0.8681640625,0.5361328125,0.2099609375,0.7132205963134766,0.4111572504043579,0.7034331560134888,0.5572952032089233,0.5799387693405151,0.8226349353790283,0.818244218826294,0.0018569529056549072,409600
large_vocab,0.5,0,0.8642578125,0.431640625,0.138671875,0.685382604598999,0.4523999094963074,0.6076812744140625,0.5300405919551849,0.5350074470043182,0.8392013907432556,0.8233591318130493,0.0024482309818267822,409600
large_vocab,0.5,1,0.8828125,0.5380859375,0.1787109375,0.7196912169456482,0.39053523540496826,0.6914498805999756,0.5409925580024719,0.6165888905525208,0.8366478681564331,0.8381445407867432,7.194280624389648e-05,409600
large_vocab,0.5,2,0.8828125,0.5634765625,0.2216796875,0.7250604629516602,0.35686397552490234,0.5372346043586731,0.4470492899417877,0.49884793162345886,0.8275444507598877,0.8157225251197815,0.0025429129600524902,409600
large_vocab,0.6,0,0.841796875,0.4599609375,0.15234375,0.6835556030273438,0.36246728897094727,0.4296642541885376,0.39606577157974243,0.45705026388168335,0.8388897180557251,0.8272253274917603,0.001589745283126831,409600
large_vocab,0.6,1,0.8818359375,0.544921875,0.19921875,0.7180988788604736,0.35172802209854126,0.5556793808937073,0.45370370149612427,0.5663919448852539,0.8385594487190247,0.833703339099884,0.0013366639614105225,409600
large_vocab,0.6,2,0.8798828125,0.5625,0.2177734375,0.7253120541572571,0.29848331212997437,0.45016050338745117,0.37432190775871277,0.4286939799785614,0.8302156329154968,0.8149986267089844,0.0019566714763641357,409600
large_vocab,0.7,0,0.8662109375,0.45703125,0.138671875,0.6878262162208557,0.3722488284111023,0.34050607681274414,0.3563774526119232,0.3944642245769501,0.8372731804847717,0.8220899105072021,0.001513153314590454,409600
large_vocab,0.7,1,0.884765625,0.548828125,0.2099609375,0.7208313941955566,0.2903345227241516,0.500411331653595,0.3953729271888733,0.4973405599594116,0.8363319039344788,0.8322786688804626,0.0017525255680084229,409600
large_vocab,0.7,2,0.8935546875,0.5849609375,0.2294921875,0.734807550907135,0.2539329528808594,0.4244062900543213,0.33916962146759033,0.4236813187599182,0.8240319490432739,0.8197834491729736,0.0026020407676696777,409600
large_vocab,0.8,0,0.861328125,0.466796875,0.1376953125,0.6884116530418396,0.27132707834243774,0.32472407817840576,0.29802557826042175,0.3463973104953766,0.8416324257850647,0.8300975561141968,0.002197444438934326,409600
large_vocab,0.8,1,0.896484375,0.5712890625,0.1953125,0.7254511713981628,0.24068093299865723,0.4305514693260193,0.33561620116233826,0.4127386510372162,0.8286274671554565,0.836491048336029,0.0010982155799865723,409600
large_vocab,0.8,2,0.8740234375,0.5595703125,0.220703125,0.7178690433502197,0.19329357147216797,0.27594608068466187,0.23461982607841492,0.313191682100296,0.8327591419219971,0.8118467926979065,0.002920001745223999,409600
large_vocab,0.9,0,0.8603515625,0.4482421875,0.1318359375,0.6844228506088257,0.2348002791404724,0.20170289278030396,0.21825158596038818,0.26448506116867065,0.8406291604042053,0.8357749581336975,0.0020759999752044678,409600
large_vocab,0.9,1,0.8828125,0.55078125,0.181640625,0.716252326965332,0.15380346775054932,0.38227367401123047,0.2680385708808899,0.3611295521259308,0.8357638716697693,0.8431851863861084,0.005452841520309448,409600
