theta,seed,m_tau50,m_tau70,m_tau90,m_mean,d_a,d_b,d_mean,d_avg_arm,loss_parent_a,loss_parent_b,self_merge_d,params_merged
0.5,1,0.8837890625,0.53515625,0.185546875,0.7139564156532288,0.3591189384460449,0.424217164516449,0.39166805148124695,0.4730099141597748,0.6838310956954956,0.6811010241508484,-2.9385089874267578e-05,405504
0.5,2,0.8857421875,0.55859375,0.177734375,0.713972806930542,0.4522612690925598,0.5027538537979126,0.4775075614452362,0.5310481488704681,0.6856021285057068,0.6790226697921753,0.0013117790222167969,405504
0.6,0,0.8994140625,0.6015625,0.2783203125,0.7400472164154053,0.338779091835022,1.067966341972351,0.7033727169036865,0.8193525075912476,0.6924254894256592,0.6845109462738037,0.002694368362426758,405504
0.6,1,0.88671875,0.5361328125,0.1884765625,0.7129952311515808,0.3271084427833557,0.38469427824020386,0.3559013605117798,0.530069887638092,0.6841467022895813,0.68406742811203,0.0023350417613983154,405504
0.6,2,0.87109375,0.52734375,0.1865234375,0.705068051815033,0.41370636224746704,0.43176698684692383,0.42273667454719543,0.49955829977989197,0.6859130263328552,0.6811646223068237,0.001414179801940918,405504
0.7,0,0.890625,0.5908203125,0.275390625,0.7416477799415588,0.22573637962341309,0.8227081894874573,0.5242222845554352,0.6567298769950867,0.6864985823631287,0.6814010739326477,-0.0003618299961090088,405504
0.7,1,0.9130859375,0.5732421875,0.2060546875,0.7317925691604614,0.20982468128204346,0.4160771369934082,0.31295090913772583,0.4591749906539917,0.6853421330451965,0.682844877243042,0.0014114081859588623,405504
0.7,2,0.8564453125,0.5703125,0.1943359375,0.710067868232727,0.3984062671661377,0.37082600593566895,0.3846161365509033,0.4168354272842407,0.6826454401016235,0.6800215244293213,0.0013456344604492188,405504
0.8,0,0.869140625,0.578125,0.2900390625,0.738603949546814,0.20898205041885376,0.8454499840736389,0.5272160172462463,0.6773621439933777,0.6900148987770081,0.6804412007331848,0.0034663379192352295,405504
0.8,1,0.890625,0.5595703125,0.197265625,0.7207428216934204,0.17953938245773315,0.28988492488861084,0.234712153673172,0.35209953784942627,0.683599054813385,0.6846540570259094,5.960464477539062e-07,405504
0.8,2,0.8828125,0.5654296875,0.2021484375,0.7173882126808167,0.28991562128067017,0.2981942892074585,0.29405495524406433,0.3437979519367218,0.6851160526275635,0.6791957020759583,0.0013537406921386719,405504
0.9,0,0.8818359375,0.6025390625,0.2783203125,0.7376956939697266,0.17509567737579346,0.7759475708007812,0.47552162408828735,0.6077167391777039,0.6916561126708984,0.6838136911392212,0.0005429983139038086,405504
0.9,1,0.8896484375,0.5693359375,0.19140625,0.7218832969665527,0.10795390605926514,0.1363329291343689,0.12214341759681702,0.24973022937774658,0.6852438449859619,0.6835931539535522,2.9802322387695312e-05,405504
0.9,2,0.8759765625,0.5869140625,0.2021484375,0.7180867791175842,0.15122896432876587,0.19189167022705078,0.17156031727790833,0.25843897461891174,0.6818440556526184,0.6796151399612427,0.001529991626739502,405504
1.0,0,0.875,0.6005859375,0.2919921875,0.7393543124198914,0.06525838375091553,0.7321727275848389,0.3987155556678772,0.4917854070663452,0.6921995282173157,0.6830965280532837,0.0005377531051635742,405504
1.0,1,0.9072265625,0.572265625,0.21484375,0.7334878444671631,0.04284381866455078,0.10509949922561646,0.07397165894508362,0.1806562840938568,0.682638943195343,0.683117151260376,-0.0007693767547607422,405504
1.0,2,0.8681640625,0.5478515625,0.1806640625,0.707770824432373,0.16482168436050415,0.19568389654159546,0.1802527904510498,0.24180004000663757,0.6838905811309814,0.6818923354148865,0.0013030469417572021,405504
